abuse,abuso,1.53
accident,incidente,1.51
achievement,realizzazione,4.57
adorable,adorabile,4.4
affectionate,affettuoso,4.56
afraid,paura,2.05
agility,agilità,3.99
agony,agonia,1.57
ambition,ambizione,4.28
ambulance,ambulanza,1.95
angel,angelo,4.51
anger,rabbia,1.71
annoy,infastidire,1.76
anxiety,ansia,2.28
army,esercito,2.35
assassin,assassino,1.56
assault,assalto,1.59
autumn,autunno,4.32
baby,bambino,4.45
bankrupt,in bancarotta,1.63
bastard,bastardo,1.5
beach,spiaggia,4.51
beauty,bellezza,4.46
beggar,mendicante,1.83
betray,tradire,1.57
bird,uccello,4.03
birthday,compleanno,4.41
blackmail,ricatto,1.54
bless,benedire,4.28
blind,cieco,1.72
blossom,fiorire,4.42
blubber,grasso,1.76
bomb,bomba,1.51
book,libro,3.69
bowl,ciotola,3.29
boy,ragazzo,3.88
breast,Seno,3.91
brother,fratello,4.22
brutal,brutale,1.54
bunny,coniglietto,4.33
burial,sepoltura,1.42
butter,burro,3.51
butterfly,farfalla,4.48
cake,torta,4.27
cancer,cancro,1.43
candy,caramella,4.2
capacity,capacità,3.27
caress,carezza,4.55
cemetery,cimitero,1.67
chair,sedia,3.26
champion,campione,4.41
charm,fascino,4.19
cheer,esultare,4.51
child,bambino,4.36
church,Chiesa,4.19
circus,circo,4.03
city,città,3.49
clothing,capi di abbigliamento,4.12
cockroach,scarafaggio,1.55
coffin,bara,1.53
comedy,commedia,4.38
comparison,confronto,3.17
confident,fiducioso,4.33
constipation,stipsi,1.55
contents,Contenuti,3.36
context,contesto,3
corpse,cadavere,1.51
cottage,Villetta,4.17
cozy,accogliente,4.45
crash,crash,1.56
crown,corona,3.97
crucify,crocifiggere,1.42
cuddle,coccolare,4.47
custom,personalizzato,3.65
cute,carino,4.37
cyclone,ciclone,2.11
dagger,pugnale,1.95
death,Morte,1.47
debt,debito,1.75
decompose,decomporsi,1.5
delight,diletto,4.33
demon,demone,1.71
depression,depressione,1.63
deserter,disertore,1.88
despise,disprezzare,1.74
destroy,distruggere,1.78
detest,detesto,1.85
devil,diavolo,1.37
diamond,diamante,4.51
diploma,diploma,4.5
disappointment,delusione,1.68
disaster,disastro,1.47
disloyal,sleale,1.77
divorce,divorzio,1.61
doctor,medico,3.47
door,porta,3.17
dreadful,terribile,1.49
dream,sognare,4.28
dress,vestito,3.95
earth,terra,4.11
easter,Pasqua,4.41
easygoing,affabile,4.32
eat,mangiare,4.12
education,formazione scolastica,4.24
elegant,elegante,4.37
employment,occupazione,4.01
engaged,impegnato,4.17
engine,motore,3.08
enjoyment,godimento,4.58
epilepsy,epilessia,1.49
errand,commissione,3.12
excellence,eccellenza,4.53
exercise,esercizio,4.01
excitement,eccitazione,4.33
excuse,scusa,2.47
execution,esecuzione,1.65
failure,fallimento,1.49
fame,fama,4.24
family,famiglia,4.63
fat,Grasso,1.62
father,padre,4.43
filth,sporcizia,1.59
fire,fuoco,1.87
flabby,flaccido,1.63
flower,fiore,4.41
foul,fallo,1.88
fragrance,fragranza,4.33
fraud,frode,1.54
freedom,la libertà,4.54
friend,amico,4.53
frog,rana,3.18
funeral,funerale,1.43
fungus,fungo,1.64
fur,pelliccia,4.09
gangrene,cancrena,1.51
garbage,spazzatura,1.68
gentle,gentile,4.49
gift,regalo,4.48
girl,ragazza,4.36
glacier,ghiacciaio,3.32
glamour,fascino,4.23
gloom,tristezza,1.72
glory,gloria,4.45
god,Dio,4.45
gold,oro,4.42
graduate,diplomato,4.36
green,verde,3.55
grief,dolore,1.59
guillotine,ghigliottina,1.66
hammer,martello,2.85
handsome,di bell'aspetto,4.37
happy,contento,4.56
hatred,odio,1.49
headache,mal di testa,1.63
health,Salute,4.51
heaven,Paradiso,4.6
hide,nascondere,2.68
history,storia,3.5
hitler,Hitler,1.31
home,casa,4.48
honest,onesto,4.56
honor,onore,4.5
horror,orrore,1.78
horse,cavallo,3.99
hospital,ospedale,2.36
hostage,ostaggio,1.63
hug,abbraccio,4.53
humiliate,umiliare,1.62
humor,umorismo,4.48
hurt,male,1.84
idiot,idiota,1.96
improve,Ottimizzare,4.11
inconsiderate,sconsiderato,1.72
industry,industria,3.15
infection,infezione,1.49
ink,inchiostro,3.11
inspire,ispirare,4.24
irritate,irritare,1.73
jail,prigione,1.51
jealousy,gelosia,1.82
jelly,gelatina,3.61
jewel,gioiello,4.23
joy,gioia,4.6
justice,giustizia,4.25
kerosene,cherosene,2.62
killer,uccisore,1.25
kindness,gentilezza,4.45
king,re,3.88
kiss,bacio,4.62
knowledge,conoscenza,4.11
lake,lago,4.21
laughter,risata,4.63
learn,imparare,4.11
leprosy,lebbra,1.45
liberty,libertà,4.42
lice,pidocchi,1.36
lie,menzogna,1.67
life,vita,4.57
loneliness,solitudine,1.63
louse,pidocchio,1.52
love,amore,4.83
loyal,leale,4.51
lucky,fortunato,4.43
luscious,succulento,4.23
luxury,lusso,4.28
maggot,verme,1.41
magnificent,magnifico,4.42
malaria,malaria,1.66
malice,malizia,1.99
me,me,4.27
measles,morbillo,1.64
memory,memoria,3.8
menace,minaccia,1.83
mildew,muffa,2.03
millionaire,milionario,4.43
miracle,miracolo,4.47
moment,momento,3.44
money,i soldi,4.41
month,mese,3.24
morbid,morboso,1.61
morgue,obitorio,1.59
mother,madre,4.56
mountain,montagna,4.24
movie,film,4.25
murderer,assassino,1.29
muscular,muscolare,4.13
music,musica,4.37
nature,natura,4.33
nazi,nazista,1.41
nectar,nettare,3.51
nightmare,incubo,1.78
obesity,obesità,1.6
ocean,oceano,4.41
opinion,opinione,3.61
orchestra,orchestra,3.88
palace,palazzo,4.36
paper,carta,3.27
paradise,Paradiso,4.64
paralysis,paralisi,1.51
party,festa,4.29
passion,passione,4.49
patent,brevetto,3.08
peace,pace,4.56
pencil,matita,3.26
perfection,perfezione,4.18
person,persona,3.89
pervert,pervertito,1.65
pest,parassita,1.85
pie,torta,3.96
pillow,cuscino,4.15
plant,pianta,3.85
pleasure,piacere,4.62
poetry,poesia,4.16
poison,veleno,1.39
politeness,cortesia,4.41
pollute,inquinare,1.59
poverty,povertà,1.49
power,energia,3.72
prairie,prateria,3.88
pretty,bella,4.4
pride,orgoglio,4.19
priest,sacerdote,3.97
prison,prigione,1.5
privacy,privacy,4.09
profit,profitto,4.12
promotion,promozione,4.37
prosperity,prosperità,4.13
punishment,punizione,1.71
puppy,cucciolo,4.33
putrid,putrido,1.8
quarrel,litigare,1.96
rabies,rabbia,1.37
radio,Radio,4.19
rage,rabbia,1.86
rainbow,arcobaleno,4.55
rape,stupro,1.22
rat,ratto,1.62
rattle,sonaglio,2.79
reformatory,riformatorio,1.88
refreshment,ristoro,4.25
rescue,salvare,4.2
respect,rispetto,4.38
revolt,rivolta,2
reward,ricompensa,4.37
riches,ricchezze,4.31
ridicule,ridicolo,1.91
riot,sommossa,1.65
river,fiume,4.14
roach,scarafaggio,1.58
romantic,romantico,4.72
rotten,marcio,1.51
rude,maleducato,1.69
rusty,arrugginito,2.14
salad,insalata,3.69
salute,saluto,3.47
sapphire,zaffiro,4.41
savior,salvatore,4.08
scholar,studioso,4.07
scorn,disprezzo,1.75
scum,feccia,1.45
scurvy,scorbuto,1.68
seasick,mal di mare,1.65
seat,posto a sedere,3.2
sentimental,sentimentale,4.51
sex,sesso,4.44
shadow,ombra,3.15
ship,nave,3.69
sickness,malattia,1.45
silk,seta,4.42
sin,peccato,1.68
sissy,femminuccia,1.95
slap,schiaffo,1.79
slaughter,macellazione,1.39
slave,schiavo,1.55
sleep,dormire,4.32
slime,melma,1.55
slum,baraccopoli,1.46
smallpox,vaiolo,1.35
snob,snob,1.82
snuggle,coccole,4.41
spirit,spirito,4.29
spouse,Sposa,4.23
square,piazza,2.91
star,stella,4.36
stink,puzza,1.51
street,strada,3.23
stress,fatica,1.86
stupid,stupido,1.8
success,successo,4.43
suffocate,soffocare,1.62
suicide,suicidio,1.36
sunrise,Alba,4.68
sunset,tramonto,4.55
sweetheart,Tesoro,4.53
syphilis,sifilide,1.35
table,tavolo,3.44
talent,talento,4.42
termite,termite,1.76
terrible,terribile,1.55
terrific,Eccezionale,4.55
theory,teoria,3.17
thief,ladro,1.7
thorn,spina,1.81
thoughtful,premuroso,4.32
thrill,brivido,4.28
time,tempo,3.49
tobacco,tabacco,2.14
tomb,tomba,1.71
toothache,mal di denti,1.41
tornado,tornado,1.83
torture,tortura,1.32
toxic,tossico,1.72
tragedy,tragedia,1.64
traitor,traditore,1.8
treasure,Tesoro,4.48
tree,albero,3.95
triumph,trionfo,4.49
trophy,trofeo,4.25
trouble,guaio,2.13
trumpet,tromba,3.52
trust,fiducia,4.43
truth,verità,4.53
tuberculosis,tubercolosi,1.61
tumor,tumore,1.29
ugly,brutto,1.61
ulcer,ulcera,1.47
unfaithful,infedele,1.54
unhappy,infelice,1.57
useless,inutili,1.85
vacation,vacanza,4.62
valentine,San Valentino,4.56
vampire,vampiro,1.84
vandal,vandalo,1.78
vanity,vanità,2.44
vehicle,veicolo,3.66
venom,veleno,1.8
victory,vittoria,4.37
village,villaggio,3.74
violent,violento,1.71
virtue,virtù,3.88
vision,visione,4.22
vomit,vomito,1.28
war,guerra,1.39
warmth,calore,4.49
wasp,vespa,1.85
waste,rifiuto,1.71
water,acqua,4
waterfall,cascata,4.38
wealthy,ricco,4.39
weapon,arma,2.08
wedding,nozze,4.39
whore,puttana,1.62
wicked,malvagio,1.7
win,vincere,4.4
window,finestra,3.57
wine,vino,3.88
wise,saggio,4.36
woman,donna,4.24
world,mondo,4.03