english,word,score
paradise,raj,8.5
diploma,dyplom,7.5
beggar,żebrak,2.24
father,ojciec,7.35
infection,zakażenie,2
decompose,rozkładać się,3.31
grief,żal,2.76
salute,pozdrowienie,6.79
inspire,inspirować,7.05
dream,sen,7.83
month,miesiąc,5.44
whore,dziwka,3.13
rattle,grzechotka,5.48
bankrupt,bankrut,2.69
disaster,katastrofa,1.67
revolt,bunt,4.26
mountain,góra,6.83
honest,uczciwy,7.75
headache,ból głowy,2.5
spirit,duch,4.14
maggot,larwa,3.05
window,okno,5.53
music,muzyka,7.81
suffocate,dusić,2.24
gloom,mrok,3.71
dagger,sztylet,2.81
vacation,wakacje,8.21
malaria,malaria,1.93
success,sukces,8.1
afraid,przestraszony,3.19
life,życie,7.17
engaged,zaręczony,6.73
flabby,wiotki,3.84
divorce,rozwód,2.55
triumph,triumf,8.07
diamond,diament,7.74
circus,cyrk,5.86
sex,płeć,5.79
charm,urok,7.48
loyal,wierny,7.64
millionaire,milioner,6.83
paralysis,paraliż,1.52
person,osoba,6.02
pencil,ołówek,4.74
seat,siedzenie,5.29
crucify,ukrzyżować,1.67
industry,przemysł,4.73
stupid,głupi,2.67
smallpox,ospa,2
wedding,ślub,7.13
profit,zysk,7.12
slime,szlam,2.76
fire,pożar,2.51
slave,niewolnik,2.31
waterfall,wodospad,7.1
toxic,toksyczny,2.39
jail,więzienie,1.9
party,stronnictwo,4.43
custom,zwyczaj,5.1
warmth,ciepło,7.55
candy,cukierki,7.33
sleep,spać,7.52
violent,gwałtowny,4.08
leprosy,trąd,2.45
graduate,absolwent,7.18
pleasure,przyjemność,8.31
easygoing,niefrasobliwy,4.13
louse,wesz,2.69
frog,żaba,4.82
jewel,klejnot,6.79
woman,kobieta,7.37
paper,papier,5.17
garbage,śmieci,2.64
humiliate,poniżyć,2.18
wine,wino,7.03
anxiety,niepokój,2.71
toothache,ból zęba,1.76
honor,honor,6.83
murderer,morderca,2.79
jelly,galaretka,6.16
butter,masło,4.88
vehicle,pojazd,6.23
tragedy,tragedia,1.29
venom,jad,2.35
theory,teoria,5.4
pretty,ładny,7.19
wise,mądry,7.74
scholar,uczony,6.55
valentine,walentynka,7.24
bomb,bomba,3.5
palace,pałac,7.1
pest,szkodnik,2.57
malice,złośliwość,3.05
rage,wściekłość,2.79
punishment,ukaranie,2.98
heaven,niebiosa,7.08
torture,tortura,2.17
slum,slums,2.21
shadow,cień,4.79
lucky,fartowny,6.6
liberty,wolność,7.81
prison,więzienie,1.9
glamour,urok,7.48
destroy,zniszczyć,2.36
sin,zgrzeszenie,3.27
peace,pokój,6.79
puppy,szczeniak,6.26
confident,konfident,2.49
poetry,poezja,6.31
assault,napaść,2.14
seasick,choroba morska,2.33
hug,przytulić,7.95
stink,śmierdzieć,1.81
tornado,tornado,2.37
cancer,rak,2.57
eat,jeść,6.2
green,zielony,6.03
lie,łgarstwo,2.38
vampire,wampir,3.7
beach,plaża,7.31
kiss,pocałunek,8.4
handsome,przystojny,6.82
unfaithful,niewierny,2.17
anger,złość,2.53
burial,pochówek,1.45
syphilis,syfilis,1.57
killer,zabójca,2.84
cake,tort,7.26
disappointment,zawiedzenie,3
irritate,irytować,3.12
book,książka,6.45
gift,prezent,7.87
putrid,zgniły,2.67
horror,przerażenie,1.95
money,pieniądze,6.95
god,bóg,6.55
poverty,ubóstwo,2.38
abuse,nadużycie,3.55
silk,jedwab,6.64
agony,agonia,2.52
power,moc,7.24
home,dom,7.98
bastard,bękart,3.02
cute,milutki,7.62
laughter,śmiech,8.02
truth,prawda,7.32
riot,zamieszki,3.52
birthday,urodziny,7.5
idiot,idiota,2.88
morgue,kostnica,2.1
world,świat,6.23
unhappy,nieszczęśliwy,2.12
vomit,wymiotować,1.68
devil,diabeł,2.93
river,rzeka,6.02
menace,groźba,2.56
sweetheart,kochanie,8.14
blind,ślepy,2.98
scum,szumowiny,2.05
sunrise,wschód słońca,8
war,wojna,1.88
ambulance,ambulans,3.43
ship,statek,5.5
mother,matka,7.73
death,śmierć,1.84
memory,pamięć,6.59
moment,moment,5.2
snuggle,tulić,8.07
filth,plugawstwo,2.57
bowl,miska,4.67
justice,sprawiedliwość,7.21
debt,dług,2.21
detest,obrzydzać,2.45
execution,wykonanie,6.33
rat,szczur,4.02
excuse,usprawiedliwiać,4.5
gentle,łagodny,6.32
dreadful,straszny,2.57
foul,faul,3.66
terrible,straszny,2.57
scurvy,szkorbut,2.17
luxury,luksus,6.69
failure,niepowodzenie,2.1
pervert,zboczeniec,2.33
victory,zwycięstwo,8.68
ugly,brzydki,3.07
gangrene,gangrena,2.41
cuddle,tulić,8.07
agility,zwinność,6.88
riches,bogactwa,7.14
blubber,beczeć,3.05
excellence,doskonałość,7.8
useless,bezużyteczny,3.15
politeness,grzeczność,6.74
cockroach,karaluch,2.21
funeral,pogrzeb,2.11
bless,błogosławić,6.52
salad,sałatka,6.6
nature,przyroda,6.86
lake,jezioro,6.84
angel,anioł,7.55
demon,demon,3.02
annoy,drażnić,2.95
rabies,wścieklizna,2.81
horse,koń,5.9
depression,przygnębienie,2.63
child,dziecko,6.43
joy,radość,8.6
terrific,wspaniały,8
learn,uczyć się,4.95
fat,tłuszcz,3.25
romantic,romantyczny,7.4
coffin,trumna,2.31
treasure,skarb,8.02
kindness,życzliwość,7.21
priest,ksiądz,5.52
cemetery,cmentarz,2.71
wasp,osa,2.88
trophy,trofeum,7.63
comedy,komedia,7.83
radio,radio,6.14
disloyal,nielojalny,1.83
ulcer,wrzód,2.34
loneliness,samotność,2.43
deserter,dezerter,3.31
thorn,cierń,2.71
cheer,dopingować,6.98
champion,mistrz,7.5
water,woda,7.28
crash,rozbić,3.12
street,ulica,4.55
clothing,odzież,6.31
errand,zadanie,5.15
wealthy,zamożny,6.9
chair,krzesło,4.86
muscular,muskularny,6.07
pollute,zanieczyścić,2.62
opinion,opinia,5.21
fraud,oszustwo,2.32
hide,ukryć,4.38
vandal,wandal,2.3
patent,patent,6.48
sunset,zachód słońca,7.14
roach,płotka,4.49
vision,wizja,6.1
slap,klaps,3.81
hammer,młotek,4.55
tumor,nowotwór,1.57
employment,zatrudnienie,6.41
vanity,próżność,2.9
health,zdrowie,7.91
termite,termit,3.29
trumpet,trąbka,4.98
sapphire,szafir,6.98
earth,ziemia,6.21
reward,wynagradzać,7.38
ocean,ocean,6.88
boy,chłopak,6.81
miracle,cud,7.51
slaughter,ubój,2.19
door,drzwi,5
square,plac,5.26
fungus,grzyb,4.53
morbid,chorobliwy,2.54
hurt,zranić,2.08
fame,sława,6.88
brutal,brutalny,2.74
time,czas,5.1
talent,zdolność,7.14
betray,zdradzać,2.24
passion,pasja,8.15
army,wojsko,4.98
star,gwiazda,7.26
freedom,swoboda,7.41
sickness,choroba,1.79
history,historia,4.93
hospital,szpital,3.08
excitement,podniecenie,7.6
achievement,osiągnięcie,7.57
spouse,małżonek,6.43
refreshment,odświeżenie,6.95
family,rodzina,7.95
perfection,perfekcja,7.88
respect,respekt,6.96
jealousy,zazdrość,2.74
glacier,lodowiec,4.37
tobacco,tytoń,2.79
blackmail,szantaż,2.98
elegant,elegancki,6.95
pillow,poduszka,7.33
virtue,cnota,5.88
sissy,maminsynek,3.5
privacy,prywatność,6.95
poison,trucizna,1.98
doctor,lekarz,5.74
ink,atrament,4.58
accident,wypadek,2.1
rainbow,tęcza,6.86
rotten,zgniły,2.67
cozy,przytulne,7.71
obesity,otyłość,2.93
enjoyment,przyjemność,8.31
rusty,zardzewiały,3.29
friend,przyjaciel,8.02
beauty,piękno,7.67
church,kościół,5.57
suicide,samobójstwo,1.83
context,kontekst,4.98
scorn,gardzić,2.4
quarrel,kłótnia,2.65
love,miłość,8
promotion,promocja,6.74
traitor,zdrajca,1.51
hostage,zakładnik,2.28
thief,złodziej,2.14
weapon,broń,3
trouble,kłopot,2.85
stress,stres,2.05
thrill,dreszczyk,5.31
prairie,preria,5.24
nectar,nektar,6.74
breast,pierś,6.52
thoughtful,zamyślony,5.45
glory,chwała,6.84
delight,zachwyt,7.63
improve,polepszyć,7.1
pie,placek,5.88
village,wieś,6.03
city,miasto,6.07
hatred,nienawiść,2
tree,drzewo,6.59
fragrance,zapach,5.91
mildew,pleśń,2.37
crown,korona,6.43
plant,sadzić,5.68
tomb,grób,2.05
cyclone,cyklon,3.36
humor,humor,7.68
blossom,kwiat,7.27
table,tabela,4.4
butterfly,motyl,6.71
cottage,chata,5.83
caress,pieszczota,8.07
lice,wszy,2.07
rude,niegrzeczny,3.24
savior,zbawca,7.02
nightmare,koszmar,2.43
baby,niemowlak,5.81
gold,złoto,6.39
measles,odra,2.73
orchestra,orkiestra,6.17
luscious,soczysty,7.05
movie,film,7.33
education,edukacja,5.75
flower,kwiat,7.27
kerosene,nafta,4.49
trust,zaufanie,7.45
despise,gardzić,2.4
fur,futro,4.14
ambition,ambicja,7.19
pride,pycha,3.1
assassin,zamachowiec,2.36
dress,ubierać,5.81
knowledge,wiedza,7.65
win,wygrać,8.65
engine,silnik,5.53
bird,ptak,5.74
brother,brat,7.1
bunny,królik,6.12
rape,gwałt,1.69
autumn,jesień,5.07
rescue,uratowanie,8.29
waste,marnować,2.25
contents,zawartość,5.74
corpse,trup,2.07
happy,szczęśliwy,8.5
snob,snob,3.33
prosperity,pomyślność,7.59
girl,dziewczyna,7.11
ridicule,śmieszność,6.69
wicked,niegodziwy,2.25
guillotine,gilotyna,2.61
king,król,6.4
